original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,district,street,postcode,suburb,name,city,county_code,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
2022-10-25 11:31:38,-29.32,-71.26,58,3.7,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-24 06:48:57,-30.7,-71.36,45,4.3,996.0636208458781,"Quebrada Espinal, 184 0000 Limarí, Chile",-30.70789,-71.364933,,,Quebrada Espinal,1840000,,,,LM,Limarí,CO,De Coquimbo,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-23 04:36:16,-29.58,-71.02,78,4.0,0,"La Serena, Provincia de Elqui, Chile",-29.902631,-71.2520253,,,,,,,La Serena,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-23 02:08:30,-21.98,-68.92,112,5.2,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-21 15:08:22,-30.59,-71.59,42,4.4,324.3542458041361,"Ovalle, Provincia de Limarí, Chile",-30.589646252469763,-71.57176919300602,,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-20 20:46:04,-24.01,-70.53,51,4.4,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-19 03:27:06,-20.63,-69.25,98,4.5,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-18 07:35:33,-30.7,-71.38,42,5.5,266.99362738585603,"Monumento Arqueológico Valle del Encanto, Quebrada Espinal, 184 0000 Ovalle, Chile",-30.704937299999997,-71.378561888444,,,Quebrada Espinal,1840000,,Monumento Arqueológico Valle del Encanto,Ovalle,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-17 13:38:24,-18.51,-69.35,120,5.1,0,"Putre, Provincia de Parinacota, Chile",-18.1963825,-69.5592242,,,,,,,Putre,,Provincia de Parinacota,,Arica y Parinacota Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-15 14:41:05,-32.71,-71.25,60,4.8,399.97359429691005,"El Olivo de Pucalán, El Melón, Chile",-32.70387085224834,-71.24712438777546,,,El Olivo de Pucalán,,,El Olivo de Pucalán,El Melón,QT,Provincia de Quillota,VS,Valparaiso Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-15 03:48:57,-32.55,-71.68,35,3.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-14 17:31:11,-31.73,-71.17,48,4.1,292.89505753387704,"Quebrada Tunca, Choapa, Chile",-31.73181,-71.16775,,,,,,Quebrada Tunca,,CH,Choapa,CO,De Coquimbo,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-10-13 16:44:58,-19.75,-70.14,49,3.8,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-12 15:09:58,-30.78,-71.31,60,4.5,385.29877785393927,"Punitaqui, Provincia de Limarí, Chile",-30.784050098284133,-71.29894987301218,,,,,,,Punitaqui,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-10 11:19:02,-29.81,-71.58,36,4.8,1828995.8012595868,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-10-10 07:58:28,-33.03,-70.92,76,4.3,462.18146248962825,"Ruta G-16, Tiltil, Chile",-33.03051612478161,-70.92787297264316,,,Ruta G-16,,,Ruta G-16,Tiltil,,Provincia de Chacabuco,,Santiago Metropolitan Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-05 00:50:43,-20.32,-69.3,90,4.3,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-04 13:08:59,-22.22,-68.8,111,5.0,102.43203523127217,"División Radomiro Tomic, Calama, Provincia de El Loa, Chile",-22.21385285657128,-68.8173828832219,,,,,División Radomiro Tomic,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-02 00:16:25,-19.68,-69.54,88,3.8,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-30 21:54:29,-22.14,-70.35,19,2.8,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-30 07:41:12,-32.08,-71.67,36,4.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-28 11:47:53,-25.72,-70.37,79,4.2,276.22782547669283,"Taltal, Provincia de Antofagasta, Chile",-25.747122306078655,-70.45444238445769,,,,,,,Taltal,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-28 03:23:24,-19.2,-69.87,45,4.0,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-27 17:25:37,-19.48,-70.05,66,4.6,1597.2439062533458,"Jarza, Huara, Provincia del Tamarugal, Chile",-19.4794986,-70.0347728,,,,,,Jarza,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-25 17:34:06,-19.48,-69.36,105,3.8,0,"Camiña, Provincia del Tamarugal, Chile",-19.313081,-69.4266968,,,,,,,Camiña,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-23 22:53:28,-41.42,-75.46,23,6.0,1871870.9909043403,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-09-23 20:17:04,-29.0,-71.55,49,4.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-23 00:28:40,-21.94,-68.89,120,4.5,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-21 02:34:12,-23.62,-69.02,102,4.3,0,"1390000 Sierra Gorda, Chile",-22.8916766,-69.3200101,,,,1390000,,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-19 23:55:19,-33.31,-71.72,40,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-19 12:59:15,-22.25,-68.74,122,4.4,918.5080902318782,"Cerro Cere, Calama, Provincia de El Loa, Chile",-22.2559863,-68.7461499,,,,,,Cerro Cere,Calama,EL,Provincia de El Loa,AN,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-19 07:52:34,-29.29,-71.53,46,3.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-18 19:53:26,-22.08,-69.81,60,4.0,0,"Tocopilla, Provincia de Tocopilla, Chile",-22.0887189,-70.1960657,,,,,,,Tocopilla,,Provincia de Tocopilla,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-17 13:42:38,-20.18,-69.17,93,4.8,404.00826284894305,"Jauja, Tamarugal, Chile",-20.18147,-69.16646,,,,,,Jauja,,TM,Tamarugal,TP,De Tarapaca,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-09-17 10:50:46,-18.42,-69.84,117,4.4,0,"Arica, Provincia de Arica, Chile",-18.4785288,-70.3211394,,,,,,,Arica,,Provincia de Arica,,Arica y Parinacota Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-16 14:44:08,-19.25,-70.11,56,3.9,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-16 14:13:00,-19.96,-70.06,47,4.2,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-16 00:48:55,-27.61,-70.12,74,3.5,437.57119127309,"Tierra Amarilla, Provincia de Copiapó, Chile",-27.623628120179145,-70.11820756454284,,,,,,,Tierra Amarilla,,Provincia de Copiapó,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-15 19:29:41,-30.65,-71.3,52,4.3,797.7180014843468,"Río Limarí, Ovalle, Chile",-30.649538033156748,-71.30832169577621,,,Río Limarí,,,Río Limarí,Ovalle,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-14 22:41:13,-30.62,-71.24,46,4.7,182.06204210969852,"Ruta D-505, Ovalle, Chile",-30.627508625712053,-71.25549288290863,,,Ruta D-505,,,Ruta D-505,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-12 23:38:24,-22.31,-68.69,112,4.5,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-11 03:22:07,-33.21,-70.96,74,4.6,514.4707500999104,"Morro El Cordero, Chacabuco, Chile",-33.21461,-70.96047,,,,,,Morro El Cordero,,CB,Chacabuco,RM,Metropolitana,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-09-07 11:29:54,-32.07,-70.94,94,3.8,0,"1950000 Salamanca, Chile",-31.7804674,-70.9649896,,,,1950000,,,Salamanca,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-06 13:14:39,-22.98,-68.96,82,5.3,0,"1390000 Sierra Gorda, Chile",-22.8916766,-69.3200101,,,,1390000,,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-06 04:46:04,-22.69,-68.89,103,4.1,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-05 20:34:01,-19.57,-69.3,105,3.5,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-05 07:50:00,-33.48,-72.21,23,4.7,1781080.6258123668,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-09-01 15:23:33,-30.56,-71.4,20,3.7,1652.0019390504276,"Ovalle, Provincia de Limarí, Chile",-30.5674516,-71.4149268,,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-01 07:18:40,-30.47,-71.25,22,3.2,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-09-01 02:35:44,-29.71,-71.18,46,3.1,959.3232865321812,"La Montoza, Elqui, Chile",-29.70333,-71.1863,,,,,,La Montoza,,EQ,Elqui,CO,De Coquimbo,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-08-31 16:03:07,-36.24,-71.85,71,4.7,881.9995714302343,"Río Perquilauquén, Ñiquén, Chile",-36.247789253862486,-71.84814253774579,,,Río Perquilauquén,,,Río Perquilauquén,Ñiquén,NU,Provincia de Punilla,BI,Nuble Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-29 13:17:20,-33.57,-70.8,91,4.5,15.181267133188676,"Jorge Luis Borges 1138, 928 0931 Padre Hurtado, Chile",-33.5698636,-70.8000071,1138,,Jorge Luis Borges,9280931,Padre Hurtado,,Padre Hurtado,MI,Provincia de Talagante,RM,Santiago Metropolitan Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-28 06:13:43,-35.12,-71.88,45,4.7,331.9444601976436,"Curepto, Provincia de Talca, Chile",-35.11775897819007,-71.88879624521552,,,,,,,Curepto,,Provincia de Talca,,Maule Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-28 03:54:36,-18.88,-69.78,91,4.4,0,"1000000 Camarones, Chile",-18.9633718,-69.71519067506257,,,,1000000,,,Camarones,,Provincia de Arica,,Arica y Parinacota Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-27 22:14:45,-28.77,-71.01,50,4.7,736.430375503344,"Las Perdices, Freirina, Provincia de Huasco, Chile",-28.7648007,-71.01468,,,,,,Las Perdices,Freirina,,Provincia de Huasco,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-27 14:46:36,-29.55,-71.32,76,4.0,894.4148858736606,"Quebrada El Sauce, Elqui, Chile",-29.54503,-71.32727,,,,,,Quebrada El Sauce,,EQ,Elqui,CO,De Coquimbo,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-08-24 12:09:46,-22.01,-68.75,134,5.6,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-24 08:32:49,-32.61,-70.47,17,3.9,0,"San Esteban, Provincia de Los Andes, Chile",-32.7990544,-70.5795811,,,,,,,San Esteban,,Provincia de Los Andes,,Valparaiso Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-23 12:26:16,-28.67,-71.21,54,4.0,0,"Freirina, Provincia de Huasco, Chile",-28.5086484,-71.0785719,,,,,,,Freirina,,Provincia de Huasco,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-22 13:50:11,-34.78,-71.7,43,4.2,125.21881102878102,"Ruta I-70-J, Lolol, Chile",-34.77290481062868,-71.6961021503296,,,Ruta I-70-J,,,Ruta I-70-J,Lolol,,Provincia de Colchagua,,O'Higgins Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-21 23:11:12,-35.34,-72.03,70,4.2,0,"3570000 Curepto, Chile",-35.0937166,-72.0180794,,,,3570000,,,Curepto,,Provincia de Talca,,Maule Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-21 16:56:02,-19.16,-69.46,94,4.2,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-20 19:50:00,-30.1,-71.2,72,4.3,477.00419618536006,"San José, Elqui, Chile",-30.09975,-71.20495,,,,,,San José,,EQ,Elqui,CO,De Coquimbo,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-08-19 09:44:42,-28.79,-71.35,49,4.8,0,"Freirina, Provincia de Huasco, Chile",-28.5086484,-71.0785719,,,,,,,Freirina,,Provincia de Huasco,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-18 02:10:22,-34.37,-70.57,114,5.5,0,"Requínoa, Provincia de Cachapoal, Chile",-34.2848586,-70.8175128,,,,,,,Requínoa,,Provincia de Cachapoal,,O'Higgins Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-16 20:25:22,-22.52,-69.04,112,4.3,551.0593591999224,"Fraterino Loa Sur, El Loa, Chile",-22.51566,-69.04259,,,,,,Fraterino Loa Sur,,EL,El Loa,AN,De Antofagasta,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-08-14 18:41:31,-33.11,-72.0,24,4.3,1795092.0068134202,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-08-14 09:01:41,-30.73,-71.33,47,4.6,180.74089109899222,"Ruta D-629, Ovalle, Chile",-30.735087614209007,-71.33647614840379,,,Ruta D-629,,,Ruta D-629,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-12 19:07:59,-22.97,-70.17,29,4.4,0,"1310000 Mejillones, Chile",-23.1002342,-70.4483076,,,,1310000,,,Mejillones,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-11 11:01:57,-21.4,-69.81,47,4.0,420.4704876227312,"Cerro Calate, Pozo Almonte, Provincia del Tamarugal, Chile",-21.3979853,-69.8065631,,,,,,Cerro Calate,Pozo Almonte,TM,Provincia del Tamarugal,TP,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-11 00:07:13,-25.77,-70.64,53,4.6,0,"Taltal, Provincia de Antofagasta, Chile",-25.4078293,-70.4858424,,,,,,,Taltal,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-09 17:19:22,-29.45,-71.21,58,4.2,100.27412399249185,"Acceso Norte a El Tofo, La Higuera, Chile",-29.44742790864662,-71.21138238131743,,,Acceso Norte a El Tofo,,,Acceso Norte a El Tofo,La Higuera,EQ,Provincia de Elqui,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-08 14:59:19,-30.14,-71.32,64,3.2,0,"Coquimbo, Provincia de Elqui, Chile",-29.9531851,-71.3379503,,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-08 03:44:56,-32.68,-71.88,32,4.9,1801288.70811981,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-08-07 02:41:16,-19.41,-69.34,97,5.1,0,"Camiña, Provincia del Tamarugal, Chile",-19.313081,-69.4266968,,,,,,,Camiña,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-05 20:20:01,-19.16,-70.03,56,4.2,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-02 09:22:44,-29.96,-71.98,38,4.0,1789239.5113479674,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-07-30 15:31:38,-18.44,-69.83,120,4.4,0,"Arica, Provincia de Arica, Chile",-18.4785288,-70.3211394,,,,,,,Arica,,Provincia de Arica,,Arica y Parinacota Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-28 04:15:04,-21.95,-70.33,55,6.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-27 18:58:58,-22.22,-68.73,120,6.0,943.9798111003497,"Pampa Carbonatera, El Loa, Chile",-22.21992,-68.72083,,,,,,Pampa Carbonatera,,EL,El Loa,AN,De Antofagasta,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-07-26 16:40:54,-31.77,-71.42,36,3.2,0,"Los Vilos, Provincia de Choapa, Chile",-31.9121611,-71.5138887,,,,,,,Los Vilos,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-25 10:42:01,-20.09,-68.92,115,4.5,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-19 16:52:44,-19.47,-69.47,89,4.5,0,"Camiña, Provincia del Tamarugal, Chile",-19.313081,-69.4266968,,,,,,,Camiña,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-19 16:32:11,-30.95,-71.33,52,3.0,386.05294520687437,"Escuela Altos de Pechén, Ruta D-607, 190 0000 Punitaqui, Chile",-30.9534686,-71.3298248,,,Ruta D-607,1900000,,Escuela Altos de Pechén,Punitaqui,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-17 16:30:09,-37.65,-73.91,36,3.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-17 14:19:51,-37.65,-73.99,40,3.7,1757895.897046207,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-07-16 22:33:00,-37.5,-72.15,76,4.5,0,"Los Ángeles, Provincia de Bío-Bío, Chile",-37.4707455,-72.351686,,,,,,,Los Ángeles,,Provincia de Bío-Bío,,Biobio Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-16 11:30:38,-30.87,-71.67,26,4.0,1450.1821490390205,"Ovalle, Provincia de Limarí, Chile",-30.8786873,-71.6813332,,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-15 03:01:08,-30.99,-71.29,60,4.1,757.4018044591638,"El Maqui, Punitaqui, Provincia de Limarí, Chile",-30.9901551,-71.2979436,,,,,,El Maqui,Punitaqui,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-13 18:59:36,-27.29,-70.24,88,3.8,0,"Copiapó, Provincia de Copiapó, Chile",-27.3664685,-70.3322753,,,,,,,Copiapó,,Provincia de Copiapó,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-13 12:57:34,-28.74,-70.56,90,4.4,0,"Alto del Carmen, Provincia de Huasco, Chile",-28.7596711,-70.4861108,,,,,,,Alto del Carmen,,Provincia de Huasco,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-12 23:36:13,-16.73,-71.26,15,5.5,255.44730399539134,"Puquina, MOQ, Peru",-16.693309633385294,-71.25660287661033,,,,,,,Puquina,,,MOQ,Moquegua,Peru,pe,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-11 08:34:49,-22.63,-69.13,89,4.0,624.3811285931353,"Ruta 25, Calama, Chile",-22.58529455502355,-69.05333064217108,,,Ruta 25,,,Ruta 25,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-09 16:25:53,-21.15,-70.17,42,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-05 11:35:31,-30.53,-72.13,24,4.8,1771328.7739175085,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-07-05 10:17:56,-32.43,-71.45,74,4.1,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-05 04:42:43,-19.97,-70.08,50,3.0,5.761134235630251,"Camino a Alto Caleta Buena, Huara, Chile",-19.972354993658236,-70.07977416488579,,,Camino a Alto Caleta Buena,,,Camino a Alto Caleta Buena,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-07-04 02:03:44,-32.95,-71.83,39,4.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
